2024-01-04 21:45:27,Person 240,towards up
2024-01-04 21:45:27,Person 240,towards down
2024-01-04 21:45:27,Person 247,towards down
2024-01-04 21:45:28,Person 174,towards down
2024-01-04 21:45:29,Person 235,towards up
2024-01-04 21:45:34,Person 252,towards down
2024-01-04 21:45:37,Person 253,towards down
2024-01-04 21:45:38,Person 259,towards down
2024-01-04 21:45:38,Person 256,towards down
2024-01-04 21:45:39,Person 260,towards up
2024-01-04 21:45:39,Person 261,towards down
2024-01-04 21:45:40,Person 254,towards up
2024-01-04 21:45:40,Person 254,towards down
2024-01-04 21:45:40,Person 260,towards down
2024-01-04 21:45:48,Person 255,towards down
2024-01-04 21:45:51,Person 265,towards up
2024-01-04 21:45:53,Person 267,towards down
2024-01-04 21:45:53,Person 264,towards up
2024-01-04 21:45:55,Person 279,towards down
2024-01-04 21:45:57,Person 289,towards up
2024-01-04 21:46:01,Person 270,towards up
2024-01-04 21:46:02,Person 283,towards up
2024-01-04 21:46:04,Person 287,towards down
2024-01-04 21:46:08,Person 303,towards down
2024-01-04 21:46:08,Person 296,towards up
2024-01-04 21:46:08,Person 302,towards up
2024-01-04 21:46:09,Person 292,towards up
2024-01-04 21:46:10,Person 300,towards up
2024-01-04 21:46:11,Person 301,towards up
2024-01-04 21:46:17,Person 317,towards down
2024-01-04 21:46:18,Person 313,towards up
2024-01-04 21:46:19,Person 312,towards up
2024-01-04 21:46:21,Person 289,towards down
2024-01-04 21:46:21,Person 309,towards down
2024-01-04 21:46:22,Person 318,towards down
2024-01-04 21:46:23,Person 318,towards up
2024-01-04 21:46:24,Person 318,towards down
2024-01-04 21:46:28,Person 323,towards down
2024-01-04 21:46:31,Person 320,towards up
2024-01-04 21:46:31,Person 322,towards up
2024-01-04 21:46:32,Person 325,towards down
2024-01-04 21:46:34,Person 329,towards down
2024-01-04 21:46:36,Person 327,towards up
2024-01-04 21:46:37,Person 326,towards up
2024-01-04 21:46:39,Person 331,towards down
2024-01-04 21:46:39,Person 322,towards down
2024-01-04 21:46:39,Person 343,towards down
2024-01-04 21:46:44,Person 335,towards up
2024-01-04 21:46:44,Person 336,towards down
2024-01-04 21:46:45,Person 356,towards down
2024-01-04 21:46:47,Person 341,towards down
2024-01-04 21:46:48,Person 337,towards up
2024-01-04 21:46:49,Person 351,towards down
2024-01-04 21:46:50,Person 338,towards up
2024-01-04 21:46:52,Person 347,towards up
2024-01-04 21:46:53,Person 355,towards up
2024-01-04 21:46:54,Person 358,towards up
2024-01-04 21:46:54,Person 363,towards up
2024-01-04 21:46:54,Person 344,towards up
